Name,Location,Price,Rating,Review
Modern 1BR Condo - near Trinity Bellwoods Park,"Downtown Toronto, Toronto",US$258,8.0,17 reviews
Yorkmills and Bayview !D Cozy & Stylish Private Bdr with Shared Bathroom,"North York, Toronto",US$60,7.8,24 reviews
Cozy Private Rm Heart of North York Free Parking Full Kitchen Close to Downtown,"North York, Toronto",US$79,6.8,199 reviews
BIG Room near Airport YYZ,Toronto,US$97,9.1,39 reviews
Stunning Retro Rooftop Apartment in Toronto,"Leslieville, Toronto",US$176,9.7,4 reviews
Yonge Suites Furnished Apartments,"Downtown Toronto, Toronto",US$194,9.2,406 reviews
Downtown Toronto Townhouse,"Downtown Toronto, Toronto",US$134,No Rating,33 external reviews
VJ Home,"North York, Toronto",US$51,No Rating,4 external reviews
Comfy Private Unit,Toronto,US$81,6.4,29 reviews
Boutique Suites in Downtown Toronto with Amazing View,"Downtown Toronto, Toronto",US$220,9.7,4 reviews
Private Suite in Forest Hill,Toronto,US$162,8.2,40 reviews
Guest House Basement - Master Bedrooms in Bayview Village,"North York, Toronto",US$104,9.2,48 reviews
Premium Suites,"Downtown Toronto, Toronto",US$192,No Rating,25 external reviews
A Cozy Suite in Heart of Downtown Toronto,"Downtown Toronto, Toronto",US$237,10,1 review
Amazing Penthouse Living in Sunrise- Breathtaking Skyline Lake View Downtown Toronto!A,"Downtown Toronto, Toronto",US$216,8.3,3 reviews
2211 Charming 1BR Condo in DWTN Toronto near CN tower,"The Harbourfront, Toronto",US$256,No Rating,12 external reviews
STB-Double BED with Shared Washroom,"Scarborough, Toronto",US$54,7.3,3 reviews
Private Room near AGO,"Downtown Toronto, Toronto",US$115,5.8,14 reviews
Private Renovated Basement,"Leslieville, Toronto",US$104,7.0,1 review
STB-Double BED with Private Washroom,"Scarborough, Toronto",US$58,4.0,4 reviews
Gorgeous 4 bedroom house with indoor fireplace,"Etobicoke, Toronto",US$486,5.5,2 reviews
Unique 1 bedroom condo by lakeshore downtown Toronto & CN tower,"Downtown Toronto, Toronto",US$403,8.7,3 reviews
House In Scarborough,"Scarborough, Toronto",US$195,6.0,1 review
Gorgeous 4 bedroom house with indoor fireplace,"Etobicoke, Toronto",US$486,5.5,2 reviews
2 BDR Apartment in the Beaches,"The Beaches, Toronto",US$202,7.7,6 reviews
Charming and Luxurious 2BR+1Bath Guest Suite,"North York, Toronto",US$262,10,13 reviews
Sunsets & LED - Condo in the sky w/Free Parking!,"Downtown Toronto, Toronto",US$265,6.8,5 reviews
Luxury 1BR Condo - King Bed - Stunning City Views,"Downtown Toronto, Toronto",US$260,No Rating,481 external reviews
Raised bungalo,"Etobicoke, Toronto",US$162,8.7,18 reviews
Exec Suite in New Luxury Condo with Lake Views,"Old Town Toronto, Toronto",US$263,No Rating,9 external reviews
Modern Condo Perfect City Getaway with Balcony,"Downtown Toronto, Toronto",US$310,7.0,1 review
Luxury Condo CN Tower View,"Downtown Toronto, Toronto",US$363,8.1,49 reviews
SkyTree - Modern Rusty Condo Close to Union Station in Heart of Downtown,"The Harbourfront, Toronto",US$281,7.6,21 reviews
Casa Queen Hotel,"Leslieville, Toronto",US$252,8.7,47 reviews
Private Rooms 5 min Finch West Subway - York University,"North York, Toronto",US$86,3.8,56 reviews
Yonge Suites Furnished Apartments,"Downtown Toronto, Toronto",US$194,9.2,406 reviews
Centrally Located - Spacious 2-Bdrm Condo - Next to Scotiabank Arena,"The Harbourfront, Toronto",US$287,9.2,37 reviews
Home Away from home,"Scarborough, Toronto",US$128,10,1 review
Luxury 2 Bedrooms Waterfront Condo in Toronto,Toronto,US$249,10,3 reviews
ComfyRoom,"Scarborough, Toronto",US$84,7.9,16 reviews
2211 Charming 1BR Condo in DWTN Toronto near CN tower,"The Harbourfront, Toronto",US$256,No Rating,12 external reviews
Boutique Suites in Downtown Toronto with Amazing View,"Downtown Toronto, Toronto",US$220,9.7,4 reviews
Private Renovated Basement,"Leslieville, Toronto",US$104,7.0,1 review
Private Rooms in House in North York Shared Kitchen,"North York, Toronto",US$93,7.2,197 reviews
Main Floor Spacious Room,"Scarborough, Toronto",US$116,No Rating,No Review
Lilen's Home,"Scarborough, Toronto",US$182,8.8,24 reviews
